rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,4.5,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 本钢板材,R2+R3,99.24,12,3
2,4.5,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 鞍钢股份,R2+R3,99.24,0,2
3,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 马钢股份,R3,0.0,1,0
4,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 重庆钢铁,R3,0.0,0,0
5,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 中南股份,R3,0.0,0,0
6,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 钒钛股份,R2+R3,99.24,0,2
7,0.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 宝钢股份,R3,0.0,0,0
8,0.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 新钢股份,R3,0.0,0,0
9,0.0,600581,承压评分为弱：资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱,八一钢铁 → 太钢不锈,R3,0.0,0,0
10,0.0,E_FANGDA_GROUP,2024-04-12 credit_exposure：guarantee_limit → 绥芬河方大国际贸易有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,方大集团 → 方大特钢,R3,0.0,0,0
11,0.0,N_九江萍钢钢铁有限公司,2024-04-12 credit_exposure：guarantee_limit → 辽宁方大集团国贸有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,九江萍钢钢铁有限公司 → 方大特钢,R2,21.65,0,0
