rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,9.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 本钢板材,R2+R3,99.24,12,3
2,8.66,E_XINTAI,未评分的非子公司被担保方（财务不公开）：获担保 10.00 亿元，占担保方净资产 64%,新泰钢铁 → 安泰集团,R2,75.8,1,2
3,6.41,000761,承压评分为弱：毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）,本钢板材 → 鞍钢集团 → 凌钢股份 → 鞍钢股份,R2+R2+R3,12.74,0,0
4,4.5,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 鞍钢股份,R2+R3,99.24,0,2
5,4.28,000761,承压评分为弱：毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）,本钢板材 → 鞍钢集团 → 凌钢股份,R2+R2,12.74,7,3
6,4.28,000761,承压评分为弱：毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）,本钢板材 → 鞍钢集团 → 凌钢股份 → 钒钛股份,R2+R2+R3,12.74,0,0
7,4.08,N_漳州龙泰供应链管理有限公司,未评分的非子公司被担保方（财务不公开）：获担保 2.45 亿元，占担保方净资产 16%,漳州龙泰供应链管理有限公司 → 安泰集团,R2,10.0,2,1
8,2.08,000761,承压评分为弱：毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）,本钢板材 → 鞍钢集团 → 鞍钢股份,R2+R3,11.15,0,2
9,2.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 八一钢铁,R3,0.0,0,0
10,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 八一钢铁,R3,0.0,0,0
11,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 中南股份,R3,0.0,0,0
12,2.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 中南股份,R3,0.0,0,0
13,1.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 马钢股份,R3,0.0,1,0
14,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 马钢股份,R3,0.0,1,0
15,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 马钢股份,R3,0.0,1,0
16,1.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 新钢股份,R3,0.0,0,0
17,1.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 重庆钢铁,R3,0.0,0,0
18,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 新钢股份,R3,0.0,0,0
19,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 重庆钢铁,R3,0.0,0,0
20,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 新钢股份,R3,0.0,0,0
21,1.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 重庆钢铁,R3,0.0,0,0
22,0.0,000761,承压评分为弱：毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）,本钢板材 → 鞍钢集团 → 钒钛股份,R2+R3,11.15,0,2
23,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 钒钛股份,R2+R3,99.24,0,2
24,0.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 宝钢股份,R3,0.0,0,0
25,0.0,000717,承压评分为弱：60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）,中南股份 → 太钢不锈,R3,0.0,0,0
26,0.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 太钢不锈,R3,0.0,0,0
27,0.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 宝钢股份,R3,0.0,0,0
28,0.0,600581,承压评分为弱：资产负债率98.6%≥85%；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）,八一钢铁 → 太钢不锈,R3,0.0,0,0
29,0.0,E_FANGDA_GROUP,2024-04-12 credit_exposure：guarantee_limit → 绥芬河方大国际贸易有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,方大集团 → 方大特钢,R3,0.0,0,0
30,0.0,N_九江萍钢钢铁有限公司,2024-04-12 credit_exposure：guarantee_limit → 辽宁方大集团国贸有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,九江萍钢钢铁有限公司 → 方大特钢,R2,21.65,0,0
