rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,9.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 本钢板材,R2+R3,99.24,12,3
2,7.51,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 本钢板材 → 鞍钢集团众元产业发展有限公司 → 鞍钢股份,R3+R2+R2,30.94,0,2
3,6.41,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 本钢板材 → 鞍钢集团 → 凌钢股份,R3+R2+R2,12.74,0,0
4,6.17,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 凌钢股份 → 本钢板材,R1+R3,10.36,12,1
5,5.01,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 本钢板材 → 鞍钢集团众元产业发展有限公司 → 鞍钢股份,R3+R2+R2,30.94,0,2
6,2.35,000959,2025-04-16 credit_exposure：guarantee_limit → 宁波首钢浙金钢材有限公司（outputs/analysis_freeze/guarantee/analysis_021_000959_guarantee_related.json）,首钢股份 → 其他关联方 → 柳钢股份,R2+R2,21.5,0,0
7,2.14,000761,承压评分为弱：毛利率-3.5%（24家中第1弱）；速动比率0.22（24家中第3弱）；现金比率0.09（24家中第3弱）,本钢板材 → 鞍钢集团 → 凌钢股份,R2+R2,12.74,0,3
8,2.06,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 凌钢股份,R1,10.36,8,2
9,2.06,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 凌钢股份 → 鞍钢股份,R1+R3,10.36,0,1
10,2.06,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 凌钢股份 → 钒钛股份,R1+R3,10.36,0,1
11,2.0,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 本钢板材,R3,0.0,9,0
12,1.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 马钢股份,R3,0.0,1,0
13,1.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 中南股份,R3,0.0,0,0
14,0.0,000761,承压评分为弱：毛利率-3.5%（24家中第1弱）；速动比率0.22（24家中第3弱）；现金比率0.09（24家中第3弱）,本钢板材 → 鞍钢集团众元产业发展有限公司 → 鞍钢股份,R2+R2,30.94,0,5
15,0.0,000761,承压评分为弱：毛利率-3.5%（24家中第1弱）；速动比率0.22（24家中第3弱）；现金比率0.09（24家中第3弱）,本钢板材 → 鞍钢集团 → 钒钛股份,R2+R3,11.15,0,2
16,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 鞍钢股份,R2+R3,99.24,0,3
17,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 钒钛股份,R2+R3,99.24,0,2
18,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 宝钢股份,R3,0.0,0,0
19,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 新钢股份,R3,0.0,0,0
20,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 重庆钢铁,R3,0.0,0,0
21,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金,八一钢铁 → 太钢不锈,R3,0.0,0,0
22,0.0,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 鞍钢股份,R3,0.0,0,0
23,0.0,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 10.36 亿元，占担保方净资产 19%,凌钢集团 → 钒钛股份,R3,0.0,0,0
