entity_id,entity_name,group_id,date,signal_type,severity,severity_rule,magnitude,magnitude_unit,detail,source_doc,source_page,evidence_text,valid_from,valid_to
000932,湖南华菱钢铁股份有限公司,G_HUNAN,2024-03-29,capacity_increase,info,产能变化只作背景，严重程度由方向三结合供需关系判断,50.0,万吨/年,capacity_construction 镀锌生产线 镀锌板,outputs/analysis_freeze/capacity/analysis_017_000932_capacity.json,1,华菱涟钢拟在冷轧板厂现有预留场地建设一条生产规模为50 万吨的镀锌生产线。,2024-03-29,2025-03-29
000932,湖南华菱钢铁股份有限公司,G_HUNAN,2024-03-29,capacity_increase,info,产能变化只作背景，严重程度由方向三结合供需关系判断,50.0,万吨,capacity_construction 为 为产能,outputs/analysis_freeze/capacity/analysis_017_000932_capacity.json,1,"生产规模
为50 万吨",2024-03-29,2025-03-29
601003,柳州钢铁股份有限公司,G_LIUGANG,2024-11-19,capacity_reduction,info,产能变化只作背景，严重程度由方向三结合供需关系判断,118.0,万吨/年,capacity_replacement 1250立方米高炉 炼铁,outputs/analysis_freeze/capacity/analysis_082_601003_capacity.json,1,本次淘汰相关设施预计将影响公司柳州生产基地约118万吨/年的炼铁产能及310万吨/年的炼钢产能。,2024-11-19,2025-11-19
601003,柳州钢铁股份有限公司,G_LIUGANG,2024-11-19,capacity_reduction,info,产能变化只作背景，严重程度由方向三结合供需关系判断,310.0,万吨/年,capacity_replacement 120吨转炉 炼钢,outputs/analysis_freeze/capacity/analysis_082_601003_capacity.json,1,本次淘汰相关设施预计将影响公司柳州生产基地约118万吨/年的炼铁产能及310万吨/年的炼钢产能。,2024-11-19,2025-11-19
601003,柳州钢铁股份有限公司,G_LIUGANG,2024-11-19,capacity_reduction,info,产能变化只作背景，严重程度由方向三结合供需关系判断,310.0,万吨/年,capacity_replacement 150吨转炉 炼钢,outputs/analysis_freeze/capacity/analysis_082_601003_capacity.json,1,本次淘汰相关设施预计将影响公司柳州生产基地约118万吨/年的炼铁产能及310万吨/年的炼钢产能。,2024-11-19,2025-11-19
N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,,2024-12-04,credit_exposure,low,为子公司担保=low,250000.0,万元,guarantee_limit → 上海中特泰富钢管有限公司,outputs/analysis_freeze/guarantee/analysis_001_000708_guarantee_quota.json,1,公司子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟为公司子公司上海中特泰富钢管有限公司（以下简称“泰富钢管”）在向银行等金融机构申请的授信额度内提供不超过25 亿元人民币的担保额度，有效期自公司2024 年第二次临时股东大会审议通过之日起至满十二个月止。,2024-12-04,2025-12-04
000708,中信泰富特钢集团股份有限公司,G_CITIC,2024-03-13,guarantee_balance,info,累计对外担保余额（合并报表外），用于承压评分的对外担保维度,12000.0,万元,累计对外担保余额 1.20 亿元（总担保占净资产 12.67%）,outputs/analysis_freeze/guarantee/analysis_002_000708_guarantee_related.json,,,2024-03-13,2025-03-13
N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,,2024-03-13,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,12000.0,万元,guarantee_limit → 湖北中航冶钢特种钢材有限公司,outputs/analysis_freeze/guarantee/analysis_002_000708_guarantee_related.json,1,"公司的全资子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟对公司参股公司湖北中航冶钢特种钢材有限公司（以下简称“湖北中航”）提供不超过人民币1.2 亿元融资担保，具体情况如下：
公司子公司兴澄特钢对参股公司湖北中航持股40%，湖北中航因经营发展所需，拟向银行等金融机构申请不超过人民币3 亿元授信。授信需要股东方兴澄特钢与中国航空工业供销中南有限公司（以下简称“中航中南”）按持股比例提供担保。其中公司子公司兴澄特钢拟按照持股比例为湖北中航提供不超过人民币1.2 亿元连带责任担保，中航中南为湖北中航提供同等条件同比例不超过人民币1.8 亿元连带责任担保，担保期限为经公司股东大会审议后签署相关协议后的三年。",2024-03-13,2025-03-13
000708,中信泰富特钢集团股份有限公司,G_CITIC,2024-03-13,guarantee_balance,info,累计对外担保余额（合并报表外），用于承压评分的对外担保维度,12000.0,万元,累计对外担保余额 1.20 亿元（总担保占净资产 12.78%）,outputs/analysis_freeze/guarantee/analysis_003_000708_guarantee_related.json,,,2024-03-13,2025-03-13
N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,,2024-03-13,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,4000.0,万元,guarantee_provided → 湖北中航冶钢特种钢材有限公司,outputs/analysis_freeze/guarantee/analysis_003_000708_guarantee_related.json,1,"公司的全资子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟对公司参股公司湖北中航冶钢特种钢材有限公司（以下简称“湖北中航”）提供人民币4,000 万元担保，具体情况如下：
湖北中航向广发银行股份有限公司武汉分行（以下简称“广发银行”） 
申请综合授信1 亿元，本次授信需要公司全资子公司兴澄特钢与湖北中
航另一股东中国航空工业供销中南有限公司（以下简称“中航中南”） 
分别按持股比例提供担保，三方将于近期在湖北武汉签署《最高额保证
合同》，其中兴澄特钢为湖北中航在广发银行申请的4,000 万元综合授
信提供连带责任保证担保，中航中南为湖北中航在广发银行申请的 
6,000 万元综合授信提供同等条件担保。担保期限为主债务合同债务期
限届满之日起三年。本次担保不涉及反担保。",2024-03-13,2027-03-13
