rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,8.64,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 本钢板材,R2+R3,74.77,12,3
2,7.35,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 鞍钢集团 → 本钢板材 → 鞍钢股份,R2+R2+R3,3.29,0,0
3,6.31,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 鞍钢集团 → 凌钢股份 → 鞍钢股份,R2+R2+R3,11.7,0,0
4,4.91,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 鞍钢股份 → 凌钢股份,R3+R2,3.33,17,0
5,4.9,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 鞍钢集团 → 本钢板材 → 钒钛股份,R2+R2+R3,3.29,0,0
6,4.62,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 本钢集团 → 凌钢股份,R2+R3,19.43,17,3
7,4.32,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 鞍钢股份,R2+R3,74.77,0,2
8,4.21,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 鞍钢集团 → 凌钢股份 → 钒钛股份,R2+R2+R3,11.7,0,0
9,2.31,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 本钢集团 → 鞍钢股份,R2+R3,19.43,0,1
10,1.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 新钢股份,R3,0.0,13,0
11,1.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 中南股份,R3,0.0,0,0
12,0.0,000761,承压评分为弱：资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第,本钢板材 → 鞍钢集团 → 钒钛股份,R2+R3,11.21,0,2
13,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 钒钛股份,R2+R3,74.77,0,2
14,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 宝钢股份,R3,0.0,0,0
15,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 马钢股份,R3,0.0,0,0
16,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 重庆钢铁,R3,0.0,0,0
17,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）,八一钢铁 → 太钢不锈,R3,0.0,0,0
