security_code,security_name,segment,peer_group,fiscal_year,notice_date,debt_ratio,current_ratio,quick_ratio,cash_to_short_debt,interest_bearing_debt_yi,short_term_debt_yi,ocf_yi,ocf_to_current_liab,capex_yi,fcf_yi,gross_margin,net_margin,roe,roa,deduct_netprofit_yi,interest_coverage,cip_to_assets,revenue_yoy,loss_flag,negative_equity,raw_TOTAL_ASSETS,raw_TOTAL_LIABILITIES,raw_TOTAL_CURRENT_ASSETS,raw_TOTAL_CURRENT_LIAB,raw_INVENTORY,raw_MONETARYFUNDS,raw_SHORT_LOAN,raw_NONCURRENT_LIAB_1YEAR,raw_SHORT_BOND_PAYABLE,raw_LONG_LOAN,raw_BOND_PAYABLE,raw_CIP,raw_TOTAL_PARENT_EQUITY,raw_TOTAL_OPERATE_INCOME,raw_OPERATE_INCOME,raw_OPERATE_COST,raw_NETPROFIT,raw_PARENT_NETPROFIT,raw_DEDUCT_PARENT_NETPROFIT,raw_TOTAL_PROFIT,raw_FE_INTEREST_EXPENSE,raw_NETCASH_OPERATE,raw_CONSTRUCT_LONG_ASSET
000708,中信特钢,特钢,core,2021,2022-03-11,0.612843,0.854054,0.618328,1.41635,158.043,53.8372,127.39,0.329065,23.18,104.21,0.166957,0.078887,0.255034,0.0960188,76.4631,16.2557,0.116321,0.292374,0,0,84701433832.56,51908652590.45,33062605072.15,38712561729.04,9125554133.15,7625258158.04,4607245996.24,776474842.77,,10420600000.0,,9852592119.37,32629280335.5,98593415973.93,98593415973.93,82132564122.69,7785665904.64,7777737680.11,7646311082.94,9298224103.91,609491674.75,12738959093.46,2318003784.97
000708,中信特钢,特钢,core,2022,2023-03-18,0.598594,1.00377,0.71668,1.56102,181.354,57.1928,134.344,0.35818,17.879,116.465,0.147353,0.0722495,0.206231,0.081028,60.7862,16.7208,0.0608355,-0.00252259,0,0,90774849545.46,54337273626.25,37648761508.72,37507350369.03,10767992903.66,8927882094.31,5272700556.9,446577058.0,,7803100000.0,4613047580.04,5522330528.1,36277428775.79,98344705612.72,98344705612.72,83853292253.47,7109246690.59,7105360274.44,6078615472.45,8429175310.95,536180238.72,13434365873.01,1787904080.8
000708,中信特钢,特钢,core,2023,2024-03-13,0.642643,1.03449,0.687022,0.686697,341.195,123.461,106.581,0.215141,19.9739,86.6072,0.131386,0.0501776,0.152796,0.0569086,52.6342,7.25724,0.0325344,0.159379,0,0,116506605547.44,74872112555.75,51249043949.3,49540242832.09,17213788121.38,8478024196.08,8670103437.14,3675986853.54,,17014706506.35,4758696659.84,3790473549.79,38609126148.91,114018799187.96,114018799187.96,99038328080.27,5898046397.11,5721189483.5,5263415483.9,6558561554.69,1048156487.28,10658114222.55,1997389244.28
000708,中信特钢,特钢,core,2024,2025-03-20,0.605304,1.12435,0.726818,0.699095,356.539,126.356,107.415,0.255003,5.52422,101.891,0.128463,0.0469367,0.128882,0.0470968,49.748,6.90516,0.0300214,-0.0422374,0,0,111043379345.44,67215006732.97,47360800131.37,42122978909.2,16745077930.89,8833495129.53,9018641334.74,3616973201.47,,18131746870.4,4886520945.3,3333679651.63,40930430985.0,109202941453.9,109202941453.9,95174416169.53,5358436264.97,5125627037.63,4974802510.9,5923596881.28,1003121829.76,10741487220.01,552422375.06
000708,中信特钢,特钢,core,2025,2026-03-17,0.587813,1.18137,0.794158,0.908143,331.858,124.133,146.356,0.348974,7.69985,138.656,0.149352,0.0552154,0.140293,0.0547228,58.4113,9.49109,0.0154885,-0.0167528,0,0,110322568610.71,64849005494.98,49545240256.36,41938947593.76,16239095953.94,11273077276.76,6818143340.3,5595182925.13,,15774425600.0,4998008325.67,1708736076.82,43588001722.22,107373484700.24,107373484700.24,91336989662.53,6056886859.76,5928668055.97,5841127911.09,7189814589.3,846747728.75,14635590727.17,769985430.86
000709,河钢股份,普钢龙头,core,2021,2022-04-22,0.749848,0.496591,0.364641,0.445253,1029.41,786.439,147.018,0.100075,97.9961,49.022,0.109757,0.0179656,0.0493712,0.0123767,21.8267,1.66975,0.0871439,0.389841,0,0,243419433508.61,182527663181.04,72953191068.12,146908020246.93,19384487280.99,35016461423.12,67592324073.26,11051609170.83,,17502351712.5,6794583366.02,21212527252.42,51036297850.42,149626213823.78,149626213823.78,133203695764.17,2999171031.71,2688119978.62,2182674369.49,3667989394.45,5476680482.09,14701808666.23,9799608984.67
000709,河钢股份,普钢龙头,core,2022,2023-04-28,0.737938,0.476253,0.329434,0.401159,1097.14,859.513,92.35,0.061305,212.602,-120.252,0.0929555,0.00972109,0.0263056,0.0063513,8.57199,1.32529,0.0813145,-0.0411431,0,0,253912653923.23,187371700380.76,71742891634.98,150640357490.44,22116835339.56,34480114333.81,71937050000.0,14014224887.88,,17695455037.5,6067512922.76,20646792603.25,55000814735.34,143470125695.33,143470125695.33,130133790004.8,1579352929.49,1394685518.21,857198937.42,1605962148.32,4937009309.35,9235003428.18,21260193793.7
000709,河钢股份,普钢龙头,core,2023,2024-04-27,0.748608,0.507479,0.375226,0.525681,1202.78,876.79,112.131,0.0732469,175.584,-63.4533,0.102154,0.00882919,0.0191955,0.004572,7.1096,1.26181,0.0932983,-0.144463,0,0,266517210934.59,199517046699.44,77688007527.67,153086064293.12,20246182996.82,46091159734.17,72267470000.0,15411565079.19,,27206701537.0,5391853294.84,24865611428.17,57914123244.05,122743948918.48,122743948918.48,110205108316.66,1189701510.28,1083730079.72,710959574.16,1345925791.65,5140910053.94,11213085443.28,17558411150.19
000709,河钢股份,普钢龙头,core,2024,2025-04-25,0.748861,0.446044,0.289746,0.359881,1287.91,884.203,96.7821,0.0660079,190.254,-93.4721,0.0965225,0.00581691,0.0121822,0.00299032,2.58319,1.17965,0.0904587,-0.00918521,0,0,269103744306.53,201521366389.05,65399867425.74,146621985558.43,22916792258.75,31820751348.25,70379904166.6,18040355658.7,,36499165549.9,3871881509.54,24342776029.87,58227967250.06,121616519837.62,121616519837.62,109877789991.32,800840003.25,707431991.14,258319230.86,924303090.57,5144993111.59,9678206759.05,19025416852.11
000709,河钢股份,普钢龙头,core,2025,2026-04-29,0.748277,0.474831,0.311497,0.35959,1361.58,895.873,99.0145,0.0717063,165.65,-66.6355,0.106541,0.00848159,0.0170607,0.00393787,5.02206,1.3073,0.0826715,-0.0286085,0,0,271637422466.94,203260021945.13,65566278418.04,138083408106.87,22553698056.05,32214666282.03,59806050827.43,29781251666.76,,45030926796.35,1540208490.47,22456684493.44,59233887248.99,118137254632.96,118137254632.96,105550817065.83,1064682863.58,1001991587.85,502205862.02,1427989097.96,4646885534.24,9901446867.12,16564995106.96
