企业,代码,年度,科目（年报原文名称）,系统数值（元）,系统数值（亿元）,年报数值（元，请填写）,年报页码,是否一致（是/否）,备注
宝钢股份,600019,2025年年报,资产总计,"363,020,000,000.00","3,630.20",,,,
宝钢股份,600019,2025年年报,负债合计,"137,830,000,000.00","1,378.30",,,,
宝钢股份,600019,2025年年报,货币资金,"19,158,400,000.00",191.58,,,,
宝钢股份,600019,2025年年报,归属于母公司所有者的净利润,"10,345,600,000.00",103.46,,,,
宝钢股份,600019,2025年年报,经营活动产生的现金流量净额,"33,597,200,000.00",335.97,,,,
八一钢铁,600581,2025年年报,资产总计,"27,976,100,000.00",279.76,,,,
八一钢铁,600581,2025年年报,负债合计,"29,704,700,000.00",297.05,,,,
八一钢铁,600581,2025年年报,货币资金,"1,102,400,000.00",11.02,,,,
八一钢铁,600581,2025年年报,归属于母公司所有者的净利润,"-1,878,910,000.00",-18.79,,,,
八一钢铁,600581,2025年年报,经营活动产生的现金流量净额,"-1,772,590,000.00",-17.73,,,,
凌钢股份,600231,2025年年报,资产总计,"15,447,000,000.00",154.47,,,,
凌钢股份,600231,2025年年报,负债合计,"11,427,600,000.00",114.28,,,,
凌钢股份,600231,2025年年报,货币资金,"1,155,000,000.00",11.55,,,,
凌钢股份,600231,2025年年报,归属于母公司所有者的净利润,"-1,557,260,000.00",-15.57,,,,
凌钢股份,600231,2025年年报,经营活动产生的现金流量净额,"-162,629,000.00",-1.63,,,,
方大特钢,600507,2025年年报,资产总计,"19,489,600,000.00",194.90,,,,
方大特钢,600507,2025年年报,负债合计,"9,028,420,000.00",90.28,,,,
方大特钢,600507,2025年年报,货币资金,"5,626,200,000.00",56.26,,,,
方大特钢,600507,2025年年报,归属于母公司所有者的净利润,"942,268,000.00",9.42,,,,
方大特钢,600507,2025年年报,经营活动产生的现金流量净额,"463,621,000.00",4.64,,,,
华菱钢铁,000932,2024年年报,资产总计,"148,106,000,000.00","1,481.06",,,,
华菱钢铁,000932,2024年年报,负债合计,"82,962,400,000.00",829.62,,,,
华菱钢铁,000932,2024年年报,货币资金,"11,056,300,000.00",110.56,,,,
华菱钢铁,000932,2024年年报,归属于母公司所有者的净利润,"2,031,760,000.00",20.32,,,,
华菱钢铁,000932,2024年年报,经营活动产生的现金流量净额,"5,777,760,000.00",57.78,,,,
酒钢宏兴,600307,2023年年报,资产总计,"44,358,500,000.00",443.58,,,,
酒钢宏兴,600307,2023年年报,负债合计,"34,218,100,000.00",342.18,,,,
酒钢宏兴,600307,2023年年报,货币资金,"4,300,520,000.00",43.01,,,,
酒钢宏兴,600307,2023年年报,归属于母公司所有者的净利润,"-1,050,020,000.00",-10.50,,,,
酒钢宏兴,600307,2023年年报,经营活动产生的现金流量净额,"503,550,000.00",5.04,,,,
