security_code,security_name,fiscal_year,currency,unit,total_revenue,domestic_revenue,overseas_revenue,overseas_share,eu_revenue,eu_share,eu_disclosure,region_labels,export_volume,export_volume_unit,source_report,source_page,source_url,filled_by,verified,notes
600019,宝钢股份,2019,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2020,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2021,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2022,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2023,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2024,CNY,,,,,,,,,,,,,,,,,
600019,宝钢股份,2025,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2019,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2020,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2021,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2022,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2023,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2024,CNY,,,,,,,,,,,,,,,,,
000898,鞍钢股份,2025,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2019,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2020,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2021,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2022,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2023,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2024,CNY,,,,,,,,,,,,,,,,,
000709,河钢股份,2025,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2019,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2020,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2021,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2022,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2023,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2024,CNY,,,,,,,,,,,,,,,,,
000959,首钢股份,2025,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2019,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2020,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2021,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2022,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2023,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2024,CNY,,,,,,,,,,,,,,,,,
000932,华菱钢铁,2025,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2019,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2020,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2021,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2022,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2023,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2024,CNY,,,,,,,,,,,,,,,,,
600282,南钢股份,2025,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2019,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2020,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2021,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2022,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2023,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2024,CNY,,,,,,,,,,,,,,,,,
600808,马钢股份,2025,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2019,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2020,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2021,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2022,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2023,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2024,CNY,,,,,,,,,,,,,,,,,
600010,包钢股份,2025,CNY,,,,,,,,,,,,,,,,,
000761,本钢板材,2019,CNY,,,,,,,,,,,,,,,,,
000761,本钢板材,2020,CNY,,,,,,,,,,,,,,,,,
000761,本钢板材,2021,CNY,,,,,,,,,,,,,,,,,
000761,本钢板材,2022,CNY,,,,,,,,,,,,,,,,,
