security_code,security_name,notice_date,task,title,doc_id,source_url,used_in
000708,中信特钢,2024-01-09,guarantee,关于子公司内部提供担保的公告,9769808,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-1/2024-01-09/9769808.PDF,guarantee
000708,中信特钢,2024-02-01,guarantee,关于子公司内部提供担保的公告,9814310,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-2/2024-02-01/9814310.PDF,guarantee
000708,中信特钢,2024-03-13,guarantee,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保额度暨关联交易的公告,9868868,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-13/9868868.PDF,
000708,中信特钢,2024-03-13,guarantee,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保暨关联交易的公告,9868823,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-13/9868823.PDF,
000708,中信特钢,2024-05-22,guarantee,关于子公司内部提供担保的公告,10228204,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-5/2024-05-22/10228204.PDF,guarantee
000708,中信特钢,2024-11-08,guarantee,关于全资子公司内部提供担保的公告,10582510,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-11/2024-11-08/10582510.PDF,
000708,中信特钢,2024-12-04,guarantee,关于2024年度子公司内部提供担保额度的公告,10625883,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-04/10625883.PDF,
000708,中信特钢,2024-12-27,guarantee,关于子公司内部提供担保的公告,10673151,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-27/10673151.PDF,guarantee
000708,中信特钢,2025-01-22,guarantee,关于子公司内部提供担保的公告,10720544,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-22/10720544.PDF,guarantee
000708,中信特钢,2025-03-06,guarantee,关于全资子公司内部提供担保的公告2,10770784,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-06/10770784.PDF,
000708,中信特钢,2025-03-06,guarantee,关于全资子公司内部提供担保的公告,10770748,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-06/10770748.PDF,
000708,中信特钢,2025-03-20,guarantee,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保暨关联交易的公告,10794392,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-20/10794392.PDF,
000708,中信特钢,2025-04-16,guarantee,关于子公司内部提供担保的公告,10877026,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-4/2025-04-16/10877026.PDF,guarantee
000708,中信特钢,2025-06-26,guarantee,关于子公司内部提供担保的公告,11200873,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-6/2025-06-26/11200873.PDF,guarantee
000708,中信特钢,2025-12-31,guarantee,关于子公司内部提供担保的公告,11890502,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-31/11890502.PDF,guarantee
000708,中信特钢,2026-04-14,guarantee,关于子公司内部提供担保的公告,12082872,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-14/12082872.PDF,guarantee
000708,中信特钢,2026-09-16,guarantee,关于子公司内部提供担保的公告,12603109,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-9/2026-09-16/12603109.PDF,guarantee
000708,中信特钢,2024-01-11,related_party,关于2024年日常关联交易预计的公告,9775526,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-1/2024-01-11/9775526.PDF,
000708,中信特钢,2024-08-20,related_party,关于新增2024年度日常关联交易预计的公告,10387769,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-8/2024-08-20/10387769.PDF,
000708,中信特钢,2024-12-04,related_party,关于2025年日常关联交易预计的公告,10625882,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-04/10625882.PDF,
000708,中信特钢,2025-08-20,related_party,关于新增2025年度日常关联交易预计的公告,11317125,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-8/2025-08-20/11317125.PDF,
000708,中信特钢,2025-12-31,related_party,关于2026年日常关联交易预计的公告,11890501,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-31/11890501.PDF,
000708,中信特钢,2026-08-21,related_party,关于新增2026年度日常关联交易预计的公告,12510731,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-8/2026-08-21/12510731.PDF,
000709,河钢股份,2024-06-07,capacity,关于邯钢新区二期项目投产的公告,10262469,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-6/2024-06-07/10262469.PDF,capacity
000709,河钢股份,2024-12-11,related_party,2025年度日常关联交易预计公告,10639310,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-11/10639310.PDF,
000709,河钢股份,2025-12-13,related_party,2026年度日常关联交易预计公告,11707854,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11707854.PDF,
000717,中南股份,2024-04-29,capacity,2024年度基建技改项目投资框架计划的公告,10134078,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-4/2024-04-29/10134078.PDF,capacity
000717,中南股份,2025-03-29,capacity,2025年度基建技改项目投资框架计划的公告,10820789,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-29/10820789.PDF,
000717,中南股份,2025-12-13,capacity,2025年度基建技改项目中期调整投资框架计划的公告,11704845,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11704845.PDF,
000717,中南股份,2025-12-13,capacity,关于转让龙头寨码头建设项目在建工程暨关联交易的公告,11704843,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11704843.PDF,
000717,中南股份,2026-04-08,capacity,2026年度基建技改项目投资框架计划的公告,12064806,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-08/12064806.PDF,
