holdout_id,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,notes
analysis_001,000708,中信特钢,2024-12-04,guarantee_quota,关于2024年度子公司内部提供担保额度的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-04/10625883.PDF,annual guarantee quota; sina doc 10625883
analysis_002,000708,中信特钢,2024-03-13,guarantee_related,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保额度暨关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-13/9868868.PDF,guarantee involving a related/associated party; sina doc 9868868
analysis_003,000708,中信特钢,2024-03-13,guarantee_related,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保暨关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-13/9868823.PDF,guarantee involving a related/associated party; sina doc 9868823
analysis_004,000708,中信特钢,2025-03-20,guarantee_related,关于子公司兴澄特钢向参股公司湖北中航冶钢特种钢材有限公司提供担保暨关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-20/10794392.PDF,guarantee involving a related/associated party; sina doc 10794392
analysis_005,000708,中信特钢,2024-12-04,related_estimate,关于2025年日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-04/10625882.PDF,annual estimate FY2025/FY2026; sina doc 10625882
analysis_006,000708,中信特钢,2025-12-31,related_estimate,关于2026年日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-31/11890501.PDF,annual estimate FY2025/FY2026; sina doc 11890501
analysis_007,000709,河钢股份,2024-12-11,related_estimate,2025年度日常关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-11/10639310.PDF,annual estimate FY2025/FY2026; sina doc 10639310
analysis_008,000709,河钢股份,2025-12-13,related_estimate,2026年度日常关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11707854.PDF,annual estimate FY2025/FY2026; sina doc 11707854
analysis_009,000717,中南股份,2025-03-29,capacity,2025年度基建技改项目投资框架计划的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-29/10820789.PDF,capacity / maintenance; sina doc 10820789
analysis_010,000717,中南股份,2025-12-13,capacity,2025年度基建技改项目中期调整投资框架计划的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11704845.PDF,capacity / maintenance; sina doc 11704845
