split,file_name,security_code,security_name,announcement_date,event_type,announcement_title,source_url,download_date,sha256,page_count,text_char_count,is_text_pdf
development,capacity_dev_001_600019_baosteel_construction.pdf,600019,宝钢股份,2024-07-26,capacity_construction,"关于投资设立沙特厚板公司出资额调整的公告",https://static.cninfo.com.cn/finalpage/2024-07-26/1220730014.PDF,2026-09-15,9ed42040783d5ceea70d4ac67e3be60f6202dd760c8110ba6ae8628368e18190,3,2504,true
development,capacity_dev_002_600019_baosteel_construction.pdf,600019,宝钢股份,2018-08-28,capacity_construction,"关于拟建设宝钢湛江钢铁三高炉系统项目的公告",https://static.cninfo.com.cn/finalpage/2018-08-28/1205340692.PDF,2026-09-15,f0dd9ab6ddfbe4dc4549a6663692ef46b9946b2d3d2c44f586026e8149ec8fa3,2,1754,true
development,capacity_dev_003_000709_hbis_construction.pdf,000709,河钢股份,2022-08-26,capacity_construction,"关于控股子公司河钢乐亭钢铁有限公司拟建设河钢乐亭钢铁基地项目二期工程的公告",https://static.cninfo.com.cn/finalpage/2022-08-26/1214410155.PDF,2026-09-15,23955ba8e9324c30581f0e0ac9af441e62a7e783ac625c9fb2369c70714bc937,4,3066,true
development,capacity_dev_004_000709_hbis_commissioning.pdf,000709,河钢股份,2024-06-07,commissioning,"关于邯钢新区二期项目投产的公告",https://static.cninfo.com.cn/finalpage/2024-06-07/1220281898.PDF,2026-09-15,0598e4e3a8449cd7fff57acc46686deaebee3f6e82c01348acdcc4bd72112193,2,987,true
development,capacity_dev_005_000709_hbis_commissioning.pdf,000709,河钢股份,2022-10-28,commissioning,"关于控股子公司邯钢华丰能源有限公司焦化项目投产的公告",https://static.cninfo.com.cn/finalpage/2022-10-28/1214954843.PDF,2026-09-15,430b8f4557ee6617525242fe75b1bccd1322f25d65073231ff47f756399b4550,1,701,true
development,capacity_dev_006_000932_valin_technical_upgrade.pdf,000932,华菱钢铁,2023-10-31,technical_upgrade,"关于华菱涟钢实施炼铁厂烧结机节能环保改造项目的投资公告",https://static.cninfo.com.cn/finalpage/2023-10-31/1218199707.PDF,2026-09-15,d6fa99f830dccc3b0ec82b6309c415b60f8e807822f505e189dc8d3c9e4cdc3e,2,1485,true
development,capacity_dev_007_000932_valin_technical_upgrade.pdf,000932,华菱钢铁,2020-11-07,technical_upgrade,"关于子公司华菱涟钢实施冷轧镀锌机组技术改造工程项目的投资公告",https://static.cninfo.com.cn/finalpage/2020-11-07/1208708099.PDF,2026-09-15,614a4f3d6998fce7ee7234e754610b8d3ddceaa7ded8e350927b3a24291845fc,2,1521,true
development,capacity_dev_008_600581_bayi_technical_upgrade.pdf,600581,八一钢铁,2023-06-22,technical_upgrade,"关于2500m3 HyCROF商业化示范项目的投资公告",https://static.cninfo.com.cn/finalpage/2023-06-22/1217117121.PDF,2026-09-15,9f7f5a984c29c63b23412fd55b61995f2fab3f461535000eea23edfd2ec8bcfa,3,1749,true
development,capacity_dev_009_600581_bayi_construction.pdf,600581,八一钢铁,2022-12-29,capacity_construction,"关于新建干熄焦项目的固定资产投资公告",https://static.cninfo.com.cn/finalpage/2022-12-29/1215470794.PDF,2026-09-15,99cd402f2e7a8771e946f2de58f41997f5ba80f94958ee3cf8b63651c253851d,2,1311,true
development,capacity_dev_010_600231_linggang_replacement.pdf,600231,凌钢股份,2023-02-25,capacity_replacement,"关于炼钢产能置换建设项目进展的公告",https://static.cninfo.com.cn/finalpage/2023-02-25/1215963062.PDF,2026-09-15,b83c1e269a1e781a51f07fa29d94e7ad00af7d8297aa54d10b824c8681506059,2,1037,true
