security_code,security_name,announcement_date,pattern_guess,announcement_title,source_url
002318,久立特材,2021-10-08,commissioning,关于年产5500KM核电、半导体、医药、仪器仪表等领域用精密管材项目投产的公告,https://static.cninfo.com.cn/finalpage/2021-10-09/1211216710.PDF
002318,久立特材,2021-12-30,commissioning,关于募投项目投产的公告,https://static.cninfo.com.cn/finalpage/2021-12-31/1212059536.PDF
002443,金洲管道,2019-03-19,commissioning,关于募投项目年产10万吨新型钢塑复合管项目投产的公告,https://static.cninfo.com.cn/finalpage/2019-03-20/1205916814.PDF
002443,金洲管道,2022-03-24,commissioning,关于年产3万吨高品质薄壁不锈钢管材管件项目投产的公告,https://static.cninfo.com.cn/finalpage/2022-03-25/1212666747.PDF
002756,永兴材料,2018-03-07,commissioning,关于“年产25万吨高品质不锈钢和特种合金棒线项目”建成投产的公告,https://static.cninfo.com.cn/finalpage/2018-03-08/1204458005.PDF
002756,永兴材料,2022-11-16,commissioning,关于控股子公司锂离子电池项目全面投产并参与浙江省新型储能电网侧示范项目建设的公告,https://static.cninfo.com.cn/finalpage/2022-11-17/1215127940.PDF
002318,久立特材,2020-01-22,construction,关于公司投资建设年产5000吨特种合金管道预制件及管维服务项目的公告,https://static.cninfo.com.cn/finalpage/2020-01-23/1207280209.PDF
002318,久立特材,2020-10-27,construction,关于公司投资建设年产10000吨的油气输送特种合金焊接管材项目的公告,https://static.cninfo.com.cn/finalpage/2020-10-27/1208622143.PDF
002318,久立特材,2024-06-17,construction,关于投资建设年产20000吨核能及油气用高性能管材项目的公告,https://static.cninfo.com.cn/finalpage/2024-06-18/1220375732.PDF
002443,金洲管道,2019-04-24,construction,关于投资建设年产3万吨高品质薄壁不锈钢管材管件项目的公告,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090227.PDF
002443,金洲管道,2020-11-30,construction,关于投资建设年产60万吨优质焊管和工厂预制深加工管材管件项目的公告,https://static.cninfo.com.cn/finalpage/2020-12-01/1208818538.PDF
002478,常宝股份,2018-07-18,construction,关于投资新建高端页岩气开采用管智能生产线项目的公告,https://static.cninfo.com.cn/finalpage/2018-07-19/1205192331.PDF
002478,常宝股份,2018-09-28,construction,关于投资新建特种专用管材生产线项目的公告,https://static.cninfo.com.cn/finalpage/2018-09-29/1205477379.PDF
002478,常宝股份,2019-08-28,construction,关于投资新建高端管线管智能生产线项目的公告,https://static.cninfo.com.cn/finalpage/2019-08-29/1206657640.PDF
002478,常宝股份,2020-01-07,construction,关于投资新建常宝钢管技术研发中心项目的公告,https://static.cninfo.com.cn/finalpage/2020-01-08/1207232263.PDF
002478,常宝股份,2023-03-21,construction,关于子公司投资新建新能源汽车用精密管项目的公告,https://static.cninfo.com.cn/finalpage/2023-03-22/1216181104.PDF
002478,常宝股份,2023-08-24,construction,关于子公司投资新建新能源及半导体用特材项目的公告,https://static.cninfo.com.cn/finalpage/2023-08-25/1217634831.PDF
002541,鸿路钢构,2018-06-22,construction,关于公司预中标汝阳县委党校新校区建设项目的提示性公告,https://static.cninfo.com.cn/finalpage/2018-06-22/1205084689.PDF
