tier,segment,security_code,security_name,core_analysis_target,capacity_gold_docs,pledge_gold_docs,guarantee_selected
core,普钢龙头,600019,宝钢股份,Y,3,0,0
core,普钢龙头,000898,鞍钢股份,Y,0,0,0
core,普钢龙头,000709,河钢股份,Y,4,0,0
core,普钢,000959,首钢股份,Y,1,0,0
core,普钢,000932,华菱钢铁,Y,3,0,0
core,普钢,600282,南钢股份,Y,3,0,1
core,普钢,600808,马钢股份,Y,0,0,0
core,普钢,600010,包钢股份,Y,0,0,0
core,普钢,000761,本钢板材,Y,1,0,0
core,普钢,601003,柳钢股份,Y,2,0,0
core,普钢,600507,方大特钢,Y,0,0,1
core,普钢,600782,新钢股份,Y,0,0,0
core,普钢,002110,三钢闽光,Y,1,0,0
core,普钢,600022,山东钢铁,Y,0,0,0
core,普钢,601005,重庆钢铁,Y,1,0,0
core,普钢,600569,安阳钢铁,Y,1,0,0
core,普钢,600581,八一钢铁,Y,3,0,0
core,普钢,600231,凌钢股份,Y,2,0,0
core,普钢,600307,酒钢宏兴,Y,1,0,0
core,普钢,002075,沙钢股份,Y,0,0,0
core,特钢,000708,中信特钢,Y,2,0,1
core,特钢,000825,太钢不锈,Y,0,0,0
core,特钢,600399,抚顺特钢,Y,1,0,0
core,特钢,000717,中南股份,Y,2,0,0
core,特钢,600117,西宁特钢,N,0,0,0
core,普钢,600126,杭钢股份,N,1,0,0
upstream,铁矿/铜矿,000923,河钢资源,N,1,0,0
upstream,焦化,600408,安泰集团,N,0,0,1
upstream,钒钛,000629,钒钛股份,N,0,0,0
upstream,铁合金,600295,鄂尔多斯,N,0,0,0
downstream,钢管,002318,久立特材,N,2,0,0
downstream,钢管,002478,常宝股份,N,1,0,0
downstream,钢管,002443,金洲管道,N,1,0,0
downstream,钢管,601686,友发集团,N,1,0,0
downstream,钢管,300881,盛德鑫泰,N,1,0,0
downstream,钢管/铸管,000778,新兴铸管,N,1,0,0
downstream,不锈钢加工,603995,甬金股份,N,2,0,0
downstream,不锈钢加工,603878,武进不锈,N,1,0,0
downstream,不锈钢/特钢,002756,永兴材料,N,2,0,0
downstream,特种合金,688186,广大特材,N,1,0,0
downstream,特种合金,300034,钢研高纳,N,0,0,0
downstream,钢结构,002541,鸿路钢构,N,1,0,0
