entity_id,canonical_name,short_name,entity_type,security_code,parent_id,group_id,group_since,group_verified,aliases,group_source
600019,宝山钢铁股份有限公司,宝钢股份,listed_mill,600019,E_BAOWU,G_BAOWU,,N,宝钢,
000898,鞍钢股份有限公司,鞍钢股份,listed_mill,000898,E_ANSTEEL_GROUP,G_ANSTEEL,,N,,
000709,河钢股份有限公司,河钢股份,listed_mill,000709,E_HBIS_GROUP,G_HBIS,,N,,
000959,北京首钢股份有限公司,首钢股份,listed_mill,000959,E_SHOUGANG_GROUP,G_SHOUGANG,,N,,
000932,湖南华菱钢铁股份有限公司,华菱钢铁,listed_mill,000932,E_HUNAN_GROUP,G_HUNAN,,N,,
600282,南京钢铁股份有限公司,南钢股份,listed_mill,600282,E_NANGANG_LIAN,G_CITIC,2023-12,Y,南钢,https://www.cs.com.cn/ssgs/gsxw/202312/t20231215_6380703.html
600808,马鞍山钢铁股份有限公司,马钢股份,listed_mill,600808,E_MAGANG_GROUP,G_BAOWU,2019,N,马钢,
600010,内蒙古包钢钢联股份有限公司,包钢股份,listed_mill,600010,E_BAOTOU_GROUP,G_BAOTOU,,N,,
000761,本钢板材股份有限公司,本钢板材,listed_mill,000761,E_BENGANG_GROUP,G_ANSTEEL,2021,N,,
601003,柳州钢铁股份有限公司,柳钢股份,listed_mill,601003,E_LIUGANG_GROUP,G_LIUGANG,,N,,
600507,方大特钢科技股份有限公司,方大特钢,listed_mill,600507,E_FANGDA_STEEL,G_FANGDA,,N,,
600782,新余钢铁股份有限公司,新钢股份,listed_mill,600782,E_XINGANG_GROUP,G_BAOWU,2022-12,Y,,https://paper.cnstock.com/html/2022-12/24/content_1708260.htm
002110,福建三钢闽光股份有限公司,三钢闽光,listed_mill,002110,E_SANGANG_GROUP,G_FJYJ,,N,,
600022,山东钢铁股份有限公司,山东钢铁,listed_mill,600022,E_SHANGANG_GROUP,G_SHANGANG,,N,,
601005,重庆钢铁股份有限公司,重庆钢铁,listed_mill,601005,E_CHANGSHOU,G_BAOWU,2020-09,Y,重钢,https://m.21jingji.com/article/20200918/3cc53ec1d85b464b32172ceaa347034c_zaker.html
600569,安阳钢铁股份有限公司,安阳钢铁,listed_mill,600569,E_ANYANG_GROUP,G_ANYANG,,N,,
600581,新疆八一钢铁股份有限公司,八一钢铁,listed_mill,600581,E_BAYI_GROUP,G_BAOWU,,N,,
600231,凌源钢铁股份有限公司,凌钢股份,listed_mill,600231,E_LINGGANG_GROUP,G_ANSTEEL,2024-12,Y,,https://finance.sina.com.cn/stock/relnews/cn/2024-12-19/doc-inczysvu0087067.shtml
