split,field,raw_name,base_name,scope,entity_id,group_id,matched_by,note
related_test,counterparty,宝武集团之子公司(钢材),宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,钢材
related_test,counterparty,宝武集团之子公司（提供劳务）,宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,提供劳务
related_test,counterparty,宝武集团之子公司（焦煤）,宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,焦煤
related_test,counterparty,宝武集团之子公司（矿石）,宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,矿石
related_test,counterparty,宝武集团之子公司（钢铁制品）,宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,钢铁制品
related_test,counterparty,宝武集团之子分公司（其他劳务）,宝武集团,subsidiaries,E_BAOWU,G_BAOWU,alias,其他劳务
related_test,counterparty,宝武集团之联营企业(其他劳务),宝武集团,associates,E_BAOWU,G_BAOWU,alias,其他劳务
related_test,counterparty,宝武集团之联营企业(工程施工),宝武集团,associates,E_BAOWU,G_BAOWU,alias,工程施工
related_test,counterparty,宝武集团之联营企业（废钢）,宝武集团,associates,E_BAOWU,G_BAOWU,alias,废钢
related_test,counterparty,宝武集团及子公司(其他材料),宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,其他材料
related_test,counterparty,宝武集团及子公司（合金）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,合金
related_test,counterparty,宝武集团及子公司（废钢）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,废钢
related_test,counterparty,宝武集团及子公司（焦炭）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,焦炭
related_test,counterparty,宝武集团及子公司（石料）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,石料
related_test,counterparty,宝武集团及子公司（资材备件）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,资材备件
related_test,counterparty,宝武集团及子分公司(工程施工),宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,工程施工
related_test,counterparty,宝武集团及子分公司（运输劳务）,宝武集团,self_and_subsidiaries,E_BAOWU,G_BAOWU,alias,运输劳务
related_test,counterparty,宝武集团（其他劳务）,宝武集团,self,E_BAOWU,G_BAOWU,alias,其他劳务
related_test,counterparty,宝武集团（提供劳务）,宝武集团,self,E_BAOWU,G_BAOWU,alias,提供劳务
related_test,counterparty,八钢公司之子公司（其他劳务）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,其他劳务
related_test,counterparty,八钢公司之子公司（合金）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,合金
related_test,counterparty,八钢公司之子公司（废钢）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,废钢
related_test,counterparty,八钢公司之子公司（房产土地租赁）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,房产土地租赁
related_test,counterparty,八钢公司之子公司（石料）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,石料
related_test,counterparty,八钢公司之子公司（钢铁制品）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,钢铁制品
related_test,counterparty,八钢公司之子公司（铁矿石）,八钢公司,subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,铁矿石
related_test,counterparty,八钢公司之联营企业(其他劳务),八钢公司,associates,E_BAYI_GROUP,G_BAOWU,exact,其他劳务
related_test,counterparty,八钢公司之联营企业(其他材料),八钢公司,associates,E_BAYI_GROUP,G_BAOWU,exact,其他材料
related_test,counterparty,八钢公司及其下属子公司,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,
related_test,counterparty,八钢公司及子公司（焦煤、焦炭）,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,焦煤、焦炭
related_test,counterparty,八钢公司及子公司（运输劳务）,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,运输劳务
related_test,counterparty,八钢公司及子分公司(其他材料),八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,其他材料
related_test,counterparty,八钢公司及子分公司(工程施工),八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,工程施工
related_test,counterparty,八钢公司及子分公司（提供劳务）,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,提供劳务
related_test,counterparty,八钢公司及子分公司（资材备件）,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,资材备件
related_test,counterparty,八钢公司及子分公司（钢材）,八钢公司,self_and_subsidiaries,E_BAYI_GROUP,G_BAOWU,exact,钢材
related_test,counterparty,八钢公司（其他劳务）,八钢公司,self,E_BAYI_GROUP,G_BAOWU,exact,其他劳务
related_test,counterparty,八钢公司（房产土地租赁）,八钢公司,self,E_BAYI_GROUP,G_BAOWU,exact,房产土地租赁
related_test,counterparty,八钢公司（运输劳务）,八钢公司,self,E_BAYI_GROUP,G_BAOWU,exact,运输劳务
related_test,counterparty,涟钢集团,涟钢集团,self,E_LIANGANG_GROUP,G_HUNAN,exact,
related_test,counterparty,涟钢集团及其子公司,涟钢集团,self_and_subsidiaries,E_LIANGANG_GROUP,G_HUNAN,exact,
related_test,counterparty,湖南钢铁集团其他子公司,湖南钢铁集团,subsidiaries,E_HUNAN_GROUP,G_HUNAN,exact,
related_test,counterparty,湖南钢铁集团及下属子公司,湖南钢铁集团,self_and_subsidiaries,E_HUNAN_GROUP,G_HUNAN,exact,
related_test,counterparty,湘钢集团,湘钢集团,self,E_XIANGGANG_GROUP,G_HUNAN,exact,
related_test,counterparty,衡钢集团及其子公司,衡钢集团,self_and_subsidiaries,E_HENGGANG_GROUP,G_HUNAN,exact,
related_test,counterparty,酒钢集团,酒钢集团,self,E_JISCO_GROUP,G_JISCO,exact,
related_dev,counterparty,首钢集团有限公司及下属企业,首钢集团有限公司,self_and_subsidiaries,E_SHOUGANG_GROUP,G_SHOUGANG,exact,
guarantee_test,guaranteed_party,凌源钢铁集团有限责任公司,凌源钢铁集团有限责任公司,self,E_LINGGANG_GROUP,G_ANSTEEL,exact,
guarantee_dev,guaranteed_party,天津钢管国际经济贸易有限公司,天津钢管国际经济贸易有限公司,self,E_TJ_PIPE_TRADE,G_CITIC,exact,
guarantee_dev,guaranteed_party,山西新泰钢铁有限公司,山西新泰钢铁有限公司,self,E_XINTAI,G_ANTAI,exact,
guarantee_test,guaranteed_party,河南安钢周口钢铁有限责任公司,河南安钢周口钢铁有限责任公司,self,E_ANGANG_ZHOUKOU,G_ANYANG,exact,
guarantee_test,guaranteed_party,湖南华菱涟源钢铁有限公司,湖南华菱涟源钢铁有限公司,self,E_LIANGANG,G_HUNAN,exact,
guarantee_test,guaranteed_party,湖南华菱湘潭钢铁有限公司,湖南华菱湘潭钢铁有限公司,self,E_XIANGGANG,G_HUNAN,exact,
guarantee_test,guaranteed_party,甘肃酒钢宏兴宏翔能源有限责任公司,甘肃酒钢宏兴宏翔能源有限责任公司,self,E_JISCO_HONGXIANG,G_JISCO,exact,
guarantee_test,guaranteed_party,福建泉州闽光钢铁有限责任公司,福建泉州闽光钢铁有限责任公司,self,E_QUANZHOU_MG,G_FJYJ,exact,
guarantee_test,guaranteed_party,福建罗源闽光钢铁有限责任公司,福建罗源闽光钢铁有限责任公司,self,E_LUOYUAN_MG,G_FJYJ,exact,
guarantee_test,guaranteed_party,福建闽光云商有限公司,福建闽光云商有限公司,self,E_MG_YUNSHANG,G_FJYJ,exact,
guarantee_test,guaranteed_party,衡阳华菱连轧管有限公司,衡阳华菱连轧管有限公司,self,E_HENGGANG_ROLL,G_HUNAN,exact,
guarantee_test,guaranteed_party,衡阳华菱钢管有限公司,衡阳华菱钢管有限公司,self,E_HENGGANG,G_HUNAN,exact,
guarantee_test,guaranteed_party,酒钢集团榆中钢铁有限责任公司,酒钢集团榆中钢铁有限责任公司,self,E_JISCO_YUZHONG,G_JISCO,exact,
guarantee_test,guarantor,凌源钢铁股份有限公司,凌源钢铁股份有限公司,self,600231,G_ANSTEEL,exact,
guarantee_dev,guarantor,南京钢铁股份有限公司,南京钢铁股份有限公司,self,600282,G_CITIC,exact,
guarantee_dev,guarantor,天津钢管制造有限公司,天津钢管制造有限公司,self,E_TJ_PIPE,G_CITIC,exact,
guarantee_test,guarantor,安阳钢铁股份有限公司,安阳钢铁股份有限公司,self,600569,G_ANYANG,exact,
guarantee_dev,guarantor,山西安泰集团股份有限公司,山西安泰集团股份有限公司,self,600408,G_ANTAI,exact,
guarantee_dev,guarantor,方大特钢科技股份有限公司,方大特钢科技股份有限公司,self,600507,G_FANGDA,exact,
guarantee_test,guarantor,湖南华菱钢铁股份有限公司,湖南华菱钢铁股份有限公司,self,000932,G_HUNAN,exact,
guarantee_test,guarantor,甘肃酒钢集团宏兴钢铁股份有限公司,甘肃酒钢集团宏兴钢铁股份有限公司,self,600307,G_JISCO,exact,
guarantee_test,guarantor,福建三钢闽光股份有限公司,福建三钢闽光股份有限公司,self,002110,G_FJYJ,exact,
related_test,counterparty,凡益湘钢,凡益湘钢,self,,G_HUNAN,group_token,
related_test,counterparty,华菱云创,华菱云创,self,,G_HUNAN,group_token,
related_test,counterparty,华菱线缆,华菱线缆,self,,G_HUNAN,group_token,
related_dev,counterparty,唐山首钢京唐西山焦化有限责任公司,唐山首钢京唐西山焦化有限责任公司,self,,G_SHOUGANG,group_token,
related_dev,counterparty,宁波首钢浙金钢材有限公司,宁波首钢浙金钢材有限公司,self,,G_SHOUGANG,group_token,
related_test,counterparty,涟钢冶金,涟钢冶金,self,,G_HUNAN,group_token,
related_test,counterparty,涟钢工程技术,涟钢工程技术,self,,G_HUNAN,group_token,
related_test,counterparty,涟钢建设,涟钢建设,self,,G_HUNAN,group_token,
related_test,counterparty,涟钢振兴,涟钢振兴,self,,G_HUNAN,group_token,
related_test,counterparty,涟钢机电,涟钢机电,self,,G_HUNAN,group_token,
related_test,counterparty,涟钢物流,涟钢物流,self,,G_HUNAN,group_token,
related_test,counterparty,湘钢物产,湘钢物产,self,,G_HUNAN,group_token,
related_test,counterparty,湘钢瑞兴,湘钢瑞兴,self,,G_HUNAN,group_token,
related_test,counterparty,湘钢金属,湘钢金属,self,,G_HUNAN,group_token,
related_test,counterparty,湘钢集团国贸,湘钢集团国贸,self,,G_HUNAN,group_token,
related_test,counterparty,酒钢医院,酒钢医院,self,,G_JISCO,group_token,
related_test,counterparty,酒钢物流,酒钢物流,self,,G_JISCO,group_token,
related_dev,counterparty,首钢(青岛)钢业有限公司,首钢(青岛)钢业有限公司,self,,G_SHOUGANG,group_token,
guarantee_dev,guaranteed_party,宁波方大海鸥贸易有限公司,宁波方大海鸥贸易有限公司,self,,G_FANGDA,group_token,
guarantee_dev,guaranteed_party,江西方大特钢汽车悬架集团有限公司,江西方大特钢汽车悬架集团有限公司,self,,G_FANGDA,group_token,
guarantee_dev,guaranteed_party,江西方大长力汽车零部件有限公司,江西方大长力汽车零部件有限公司,self,,G_FANGDA,group_token,
guarantee_dev,guaranteed_party,济南方大重弹汽车悬架有限公司,济南方大重弹汽车悬架有限公司,self,,G_FANGDA,group_token,
