run,task,started_at,documents,failed,model,prompt_sha256_prefix,event_f1,capacity_record_f1,document_fields,factual_attributes,report_sha256
accuracy_test,,2026-09-06T22:43:00.387515+00:00,5,0,qwen-plus,ac01f3b5dd6b,1.0,,20/20,120/120,cccd184d9251ae6c339d77a4a509162a3ea4c4323b5e812c79876183e3484632
blind_test_v1,,2026-09-15T13:12:29.142423+00:00,20,0,qwen-plus,ac01f3b5dd6b,0.7385,,79/80,285/288,e90a9e2ab5c144b110167bf62d349c61c9a1ca78a20e8faade2a62f7f4829467
blind_test_v2,,2026-09-15T13:35:47.999023+00:00,20,0,qwen-plus,1ee7fa3cf217,0.9231,,79/80,355/360,b15bec48fd517dbb1ebfb4d3de5a280a3f941f9e30e088ef425fdf9456f679b4
capacity_blind_v4,capacity,2026-09-20T19:45:45.823465+00:00,8,0,qwen-plus,5989bb4292bb,0.875,0.5333,38/40,122/151,9b1895e1798b865512ce346081edb77536e52ea3ba1c4df83640969e5f9dcc70
capacity_dev_v2,capacity,2026-09-17T19:00:28.304695+00:00,12,0,qwen-plus,30c6c6701201,0.88,0.6154,60/60,122/176,bcb1a14f4b2e85cd0596e8c039289c488a2ab0577ac5e0b7fa39a1ffc3add7c0
capacity_dev_v3,capacity,2026-09-20T05:54:04.245646+00:00,12,0,qwen-plus,5f4497d75543,0.9167,0.6545,60/60,118/176,9612e4ef0044f15fb4c7e4a317e60f951898fb140e9e398962330eae8dfd899b
capacity_dev_v3_1,capacity,2026-09-20T18:52:59.881366+00:00,12,0,qwen-plus,1194b65a2e74,1.0,0.8182,60/60,135/192,25e5088f1da4aa3e7a9e50809f11e9057b52dba3cc853fae448a172a71f6ad18
capacity_dev_v4,capacity,2026-09-20T19:35:40.100682+00:00,12,0,qwen-plus,5989bb4292bb,1.0,1.0,60/60,277/316,0e9becd2426c9a47eeb51dc88e3adfab101153a3ce3cb574545759b34b51bad3
capacity_holdout_v5_r1,capacity,2026-09-23T13:29:14.610578+00:00,9,0,qwen-plus,870d3781eed6,0.7273,0.2222,44/45,126/159,06c05a0504f6242e51d7ba84847f4250679c70abb2c2741133af9208a4ba257c
capacity_holdout_v5_r2,capacity,2026-09-23T13:32:00.809132+00:00,9,0,qwen-plus,870d3781eed6,0.8889,0.2353,44/45,124/159,2cda9bc6f097b0d4fa06290f3f50c8580b6a74511fda7e0b8a399db9c97c4fbb
